﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4nIDWcUZWDrERMIxV4eJTX","Beraber Olsaydık","Yeis Sensura, Sehabe","İkinci Tekil Şahıs","1","1","268500","spotify:user:mrkaan888","2016-12-26T23:08:22Z"
"spotify:track:1EYb9cZfx1d4qUswLnbfn1","Dokunmam Farklı Tene","Yeis Sensura","Dokunmam Farklı Tene","1","1","253074","spotify:user:mrkaan888","2016-12-26T23:08:27Z"
"spotify:track:1yA4PWl627HrRHSWAs13Ur","Bazı Günler","Yeis Sensura","İkinci Tekil Şahıs","1","7","236339","spotify:user:mrkaan888","2016-12-26T23:08:32Z"
"spotify:track:4NgBpiVDCdDvpiV92QIekx","Hoşçakal","emre aydın","Kağıt Evler","1","3","226360","spotify:user:mrkaan888","2016-12-27T10:16:15Z"
"spotify:track:3UGOaN1izHxdsbqSaB0nHw","Buralar Yalan","emre aydın","Buralar Yalan","1","1","217586","spotify:user:mrkaan888","2016-12-27T13:11:37Z"
"spotify:track:77zdIGJi6xWPtgsEg4v2Xc","Bil Oğlum","Esat Kabaklı","Kirve Memi","1","7","297933","spotify:user:mrkaan888","2016-12-28T19:56:52Z"
"spotify:track:1T20SL3qOxQSc9ylPE6j36","Kendi Yolundan Şaşma","maNga","Kendi Yolundan Şaşma","1","1","198670","spotify:user:mrkaan888","2016-12-30T12:18:45Z"
"spotify:track:1brwdYwjltrJo7WHpIvbYt","Faded","Alan Walker","Faded","1","1","212626","spotify:user:mrkaan888","2017-01-02T03:35:56Z"
"spotify:track:4qmpN4MPYdAZ781ilxVatM","Manidar","Alex, Birce","Manidar","1","1","221231","spotify:user:mrkaan888","2017-01-03T15:36:00Z"
"spotify:track:13vDsPT8iBNkWfL7soarNl","Suspus","Ceza","Suspus","1","2","248786","spotify:user:mrkaan888","2017-01-05T15:08:16Z"
"spotify:track:6qLGmqg7yfTVotHvxVClZ8","Yerli Plaka","Ceza","Yerli Plaka","1","2","274693","spotify:user:mrkaan888","2017-01-05T15:08:23Z"
"spotify:track:70LAjEHXEbOXYeelApakRt","Milyon Farklı Hikaye","Ceza","Suspus","1","3","226305","spotify:user:mrkaan888","2017-01-05T15:08:49Z"
"spotify:track:4KC5Sxabr3wE3lNHoXg6RC","Her Aynada Farklı Kadın","Beste Kırmacı","Bu Köy Adam","1","7","212653","spotify:user:mrkaan888","2017-01-09T10:24:53Z"
"spotify:track:24hnGfqThYyQAGmAB3T0Yz","Ben Öyle Birini Sevdim Ki","Sertab Erener","Ben Öyle Birini Sevdim Ki","1","1","205543","spotify:user:mrkaan888","2017-01-11T21:45:41Z"
"spotify:track:0UGS2hUPmWNsJlKmbSr0Wv","Belalım","Sıla","Zülfü Livaneli 50. Yıl - Bir Kuşaktan Bir Kuşağa","1","3","294880","spotify:user:mrkaan888","2017-01-12T08:55:56Z"
"spotify:track:0VqF4h5Y5w7n5OEvNQA8Rm","Sebahat Abla","Müslüm Gürses, Sezen Aksu","Aşk Tesadüfleri Sever (Mucize ve Buluşma)","1","8","234521","spotify:user:mrkaan888","2017-01-12T08:56:53Z"
"spotify:track:6rWID4G0g3vGL4YGp7f2h6","Dudak","Edis","Dudak","1","1","223571","spotify:user:mrkaan888","2017-01-14T23:41:15Z"
"spotify:track:1xSaaUrsYL4OqoebHVtZov","Siyah (Esved)","Neyse","Neyse","1","7","221750","spotify:user:mrkaan888","2017-01-22T12:29:58Z"
"spotify:track:1TZgLyBgQY3lLcxnuSTLMn","Önemsiz","Malt","Arıza","1","9","200202","spotify:user:mrkaan888","2017-01-22T12:35:32Z"
"spotify:track:4ChhQZUFq2sqp4siVC5gv4","Halledebilirdik","Birileri","Bir İleri","1","6","305898","spotify:user:mrkaan888","2017-01-26T03:11:14Z"
